58EB	士
58EE	壮
58F0	声
58F3	壳
58F6	壶
58F9	壹
5904	处
5907	备
5909	変
590D	复
590F	夏
5915	夕
5916	外
591A	多
591C	夜
591F	够
5927	大
5929	天
592A	太
592B	夫
592D	夭
592E	央
5931	失
5934	头
5937	夷
5938	夸
5939	夹
593A	夺
5944	奄
5947	奇
5948	奈
5949	奉
594B	奋
594F	奏
5951	契
5954	奔
5956	奖
5957	套
5962	奢
5965	奥
5973	女
5974	奴
5976	奶
5979	她
597D	好
5982	如
5984	妄
5986	妆
5987	妇
5988	妈
598D	妍
5992	妒
5996	妖
5999	妙
599E	妞
59A8	妨
59AE	妮
59B2	妲
59B9	妹
59BB	妻
59C6	姆
59CB	始
59D0	姐
59D1	姑
59D3	姓
59D4	委
59DC	姜
59E8	姨
59EC	姬
59F1	姱
59FB	姻
59FF	姿
5A01	威
5A03	娃
5A04	娄
5A05	娅
5A07	娇
5A18	娘
5A1C	娜
5A31	娱
5A46	婆
5A49	婉
5A5A	婚
5A6A	婪
5A6E	婮
5A74	婴
5A76	婶
5A9A	媚
5A9B	媛
5AB2	媲
5AB3	媳
5AC9	嫉
5ACC	嫌
5AE9	嫩
5B09	嬉
5B50	子
5B54	孔
5B55	孕
5B57	字
5B58	存
5B59	孙
5B5C	孜
5B5D	孝
5B5F	孟
5B62	孢
5B63	季
5B64	孤
5B66	学
5B69	孩
5B6A	孪
5B75	孵
5B81	宁
5B83	它
5B85	宅
5B87	宇
5B88	守
5B89	安
5B8B	宋
5B8C	完
5B8F	宏
5B97	宗
5B98	官
5B99	宙
5B9A	定
5B9B	宛
5B9C	宜
5B9D	宝
5B9E	实
5BA0	宠
5BA1	审
5BA2	客
5BA3	宣
5BA4	室
5BAB	宫
5BB0	宰
5BB3	害
5BB4	宴
5BB6	家
5BB9	容
5BBD	宽
5BBE	宾
5BBF	宿
5BC2	寂
5BC4	寄
5BC6	密
5BC7	寇
5BCC	富
5BD0	寐
5BD2	寒
5BD3	寓
5BDD	寝
5BDE	寞
5BDF	察
5BE1	寡
5BE8	寨
5BF8	寸
5BF9	对
5BFA	寺
5BFB	寻
5BFC	导
5BFF	寿
5C01	封
5C04	射
5C06	将
5C0A	尊
5C0F	小
5C11	少
5C14	尔
5C16	尖
5C18	尘
5C1A	尚
5C1D	尝
5C24	尤
5C2C	尬
5C31	就
5C34	尴
5C38	尸
5C3A	尺
5C3B	尻
5C3C	尼
5C3D	尽
5C3E	尾
5C3F	尿
5C40	局
5C41	屁
5C42	层
5C45	居
5C48	屈
5C4A	届
5C4B	屋
5C4E	屎
5C4F	屏
5C55	展
5C5E	属
5C61	屡
5C65	履
5C71	山
5C79	屹
5C7F	屿
5C81	岁
5C82	岂
5C90	岐
5C94	岔
5C96	岖
5C9A	岚
5C9B	岛
5CA1	岡
5CA9	岩
5CAC	岬
5CAD	岭
5CB1	岱
5CB3	岳
5CB8	岸
5CD9	峙
5CE1	峡
5CE6	峦
5CED	峭
5CF0	峰
5CFB	峻
5D07	崇
5D0E	崎
5D14	崔
5D16	崖
5D29	崩
5D2D	崭
5D3D	崽
5D4C	嵌
5D69	嵩
5DCD	巍
5DDD	川
5DDE	州
5DE1	巡
5DE2	巢
5DE5	工
5DE6	左
5DE7	巧
5DE8	巨
5DEB	巫
5DEE	差
5DF1	己
5DF2	已
5DF4	巴
5DF7	巷
5DFE	巾
5E01	币
5E02	市
5E03	布
5E05	帅
5E06	帆
5E08	师
5E0C	希
5E10	帐
5E15	帕
5E18	帘
5E1A	帚
5E1B	帛
5E1C	帜
5E1D	帝
5E26	带
5E27	帧
5E2D	席
5E2E	帮
5E37	帷
5E38	常
5E3D	帽
5E45	幅
5E4C	幌
5E54	幔
5E55	幕
5E62	幢
5E72	干
5E73	平
5E74	年
5E76	并
5E78	幸
5E7B	幻
5E7C	幼
5E7D	幽
5E7F	广
5E84	庄
5E86	庆
5E8A	床
5E8F	序
5E90	庐
5E93	库
5E94	应
5E95	底
5E97	店
5E99	庙
5E9E	庞
5E9F	废
5EA6	度
5EA7	座
5EAD	庭
5EB5	庵
5EB7	康
5EB8	庸
5EC9	廉
5ECA	廊
5ED3	廓
5EF6	延
5EF7	廷
5EFA	建
5F00	开
5F02	异
5F03	弃
5F04	弄
5F0F	式
5F15	引
5F16	弖
5F17	弗
5F18	弘
5F1B	弛
5F1F	弟
5F20	张
5F25	弥
5F26	弦
5F2F	弯
5F31	弱
5F39	弹
5F3A	强
5F52	归
5F53	当
5F55	录
5F57	彗
5F62	形
5F66	彦
5F69	彩
5F6C	彬
5F6D	彭
5F70	彰
5F71	影
5F77	彷
5F79	役
5F7B	彻
5F7C	彼
5F80	往
5F81	征
5F84	径
5F85	待
5F88	很
5F8A	徊
5F8B	律
5F92	徒
5F97	得
5F98	徘
5F99	徙
5FA1	御
5FA8	徨
5FAA	循
5FAE	微
5FB7	德
5FBD	徽
5FC3	心
5FC5	必
5FC6	忆
5FCC	忌
5FCD	忍
5FD2	忒
5FD7	志
5FD8	忘
5FD9	忙
5FE0	忠
5FE7	忧
5FEB	快
5FF5	念
5FFD	忽
6000	怀
6001	态
6002	怂
6005	怅
600E	怎
6012	怒
6015	怕
6016	怖
601C	怜
601D	思
6020	怠
6021	怡
6025	急
6026	怦
6027	性
6028	怨
602A	怪
602F	怯
603B	总
604B	恋
604D	恍
6050	恐
6052	恒
6055	恕
6059	恙
6062	恢
6068	恨
6069	恩
606A	恪
606C	恬
606D	恭
606F	息
6070	恰
6076	恶
607C	恼
6084	悄
6089	悉
608D	悍
6094	悔
609A	悚
609F	悟
60A0	悠
60A3	患
60A6	悦
60A8	您
60AC	悬
60AF	悯
60B2	悲
60B4	悴
60B8	悸
60C5	情
60C6	惆
60CA	惊
60CB	惋
60D1	惑
60D5	惕
60D8	惘
60DA	惚
60DC	惜
60E0	惠
60E3	惣
60E6	惦
60E7	惧
60E8	惨
60E9	惩
60EB	惫
60EC	惬
60ED	惭
60EF	惯
60F0	惰
60F3	想
60F6	惶
60F9	惹
6101	愁
6108	愈
6109	愉
610F	意
611A	愚
611F	感
6124	愤
6127	愧
613F	愿
6148	慈
614C	慌
614E	慎
6151	慑
6155	慕
6162	慢
6167	慧
6168	慨
6170	慰
618E	憎
6194	憔
61A7	憧
61A8	憨
61A9	憩
61AC	憬
61BE	憾
61C2	懂
61C8	懈
61CA	懊
61D2	懒
61E6	懦
6208	戈
620E	戎
620F	戏
